DATE,EXCHANGE_RATE
2015-05-01,4.4469
2015-06-01,4.4682
2015-07-01,4.4385
2015-08-01,4.4230
2015-09-01,4.4232
2015-10-01,4.4220
2015-11-01,4.4445
2015-12-01,4.5040
2016-01-01,4.5303
2016-02-01,4.4818
2016-03-01,4.4657
2016-04-01,4.4727
2016-05-01,4.4994
2016-06-01,4.5218
2016-07-01,4.4858
2016-08-01,4.4594
2016-09-01,4.4506
2016-10-01,4.4942
2016-11-01,4.5102
2016-12-01,4.5173
2017-01-01,4.5016
2017-02-01,4.5120
2017-03-01,4.5482
2017-04-01,4.5299
2017-05-01,4.5540
2017-06-01,4.5714
2017-07-01,4.5681
2017-08-01,4.5784
2017-09-01,4.5978
2017-10-01,4.5885
2017-11-01,4.6314
2017-12-01,4.6359
2018-01-01,4.6500
2018-02-01,4.6555
2018-03-01,4.6605
2018-04-01,4.6565
2018-05-01,4.6387
2018-06-01,4.6611
2018-07-01,4.6502
2018-08-01,4.6437
2018-09-01,4.6466
2018-10-01,4.6651
2018-11-01,4.6610
2018-12-01,4.6530
2019-01-01,4.7037
2019-02-01,4.7478
2019-03-01,4.7538
2019-04-01,4.7583
2019-05-01,4.7595
2019-06-01,4.7252
2019-07-01,4.7290
2019-08-01,4.7286
2019-09-01,4.7376
2019-10-01,4.7538
2019-11-01,4.7683
2019-12-01,4.7773
2020-01-01,4.7785
2020-02-01,4.7828
2020-03-01,4.8263
2020-04-01,4.8342
2020-05-01,4.8365
2020-06-01,4.8393
2020-07-01,4.8380
2020-08-01,4.8372
2020-09-01,4.8586
2020-10-01,4.8733
2020-11-01,4.8699
2020-12-01,4.8707
2021-01-01,4.8728
2021-02-01,4.8741
2021-03-01,4.8878
2021-04-01,4.9221
2021-05-01,4.9247
2021-06-01,4.9236
2021-07-01,4.9250
2021-08-01,4.9229
2021-09-01,4.9465
2021-10-01,4.9481
2021-11-01,4.9488
2021-12-01,4.9489
2022-01-01,4.9448
2022-02-01,4.9456
2022-03-01,4.9481
2022-04-01,4.9437
2022-05-01,4.9462
2022-06-01,4.9448
2022-07-01,4.9398
2022-08-01,4.8953
2022-09-01,4.9080
2022-10-01,4.9266
2022-11-01,4.9131
2022-12-01,4.9224
2023-01-01,4.9227
2023-02-01,4.9077
2023-03-01,4.9263
2023-04-01,4.9364
2023-05-01,4.9481
2023-06-01,4.9598
2023-07-01,4.9412
2023-08-01,4.9409
2023-09-01,4.9657
2023-10-01,4.9682
2023-11-01,4.9702
2023-12-01,4.9704
